stade_id;code_du_stade_phenologique;n_de_l_echelle_phenologique;echelle_phenologique;code_de_l_evenement_phenologique_majeur;code_de_l_evenement_phenologique_majeur;description_du_stade
4427;00;82;BBCH_TEMPO;0;Germination / levée / développement des bourgeons;tous les bourgeons au stade de dormance hivernale
4425;09;82;BBCH_TEMPO;0;Germination / levée / développement des bourgeons;"au moins 50% des bourgeons ont les premières feuilles qui commencent à s'individualiser: les bouts de ces premières feuilles sont distinctement visibles et dépassent l'extrémité des écailles, si celles-ci sont encore présentes. Chez les pins, les aiguilles commencent à percer le fourreau.
Autres conifères : au moins 50% des bourgeons montrant les aiguilles individualisées en pinceau fermé"
4430;10;82;BBCH_TEMPO;1;Développement des feuilles (tige principale);"Feuillus : les premières feuilles du houppier sont étalées. 
Pins : premiers bourgeons très allongés avec premières aiguilles complétement sorties du fourreau collées par paire.
Autres conifères :  premiers bourgeons montrant les aiguilles en pinceau ouvert"
4420;11;82;BBCH_TEMPO;1;Développement des feuilles (tige principale);"Feuillus : les premières feuilles sont étalées sur environ 10% du houppier.
Pins : 10 % des bourgeons très allongés avec premières aiguilles complétement sorties du fourreau mais elles sont encore serrées, comme collées entre elles.
Autres conifères :  10% des bourgeons avec aiguilles en pinceau ouvert"
4422;15;82;BBCH_TEMPO;1;Développement des feuilles (tige principale);"Feuillus : les premières feuilles sont étalées sur environ 50% du houppier.
Pins : 50 % des bourgeons très allongés avec premières aiguilles sortant ou sorties du fourreau mais elles sont encore serrées, comme collées entre elles.
Autres conifères :  50% des bourgeons avec aiguilles en pinceau ouvert"
4431;55;82;BBCH_TEMPO;5;Apparition de l’inflorescence (tige principale) / épiaison;"La majorité des boutons floraux sont sortis des bourgeons mais sont fermés  
Fleurs à pétales : la majorité des boutons floraux sont sortis des bourgeons. Ils sont encore fermés, mais la couleur des pétales est visible.
Fleurs mâles en chatons : les chatons sont en fin d’allongement, les écailles commencent à s’écarter.
Autres fleurs : les étamines commencent à être visibles. Globalement on note plutôt la fin du stade."
4428;59;82;BBCH_TEMPO;5;Apparition de l’inflorescence (tige principale) / épiaison;"les premiers pétales floraux sont visibles, la fleur est encore fermée - l’inflorescence est complètement sortie (fin de l’épiaison)"
4426;60;82;BBCH_TEMPO;6;Floraison (tige principale);"Les premières fleurs sont à maturité sexuelle 
Fleurs à pétales : les pétales sont étalés et les étamines libèrent le pollen. 
Fleurs mâles en chatons : les étamines visibles ou les écailles fertiles libèrent le pollen.
Autres fleurs mâles : les étamines sont visibles et libèrent le pollen."
4432;61;82;BBCH_TEMPO;6;Floraison (tige principale);"10% des fleurs sont à maturité sexuelle 
Fleurs à pétales : les pétales sont étalés et les étamines libèrent le pollen. 
Fleurs mâles en chatons : les étamines visibles ou les écailles fertiles libèrent le pollen.
Autres fleurs mâles : les étamines sont visibles et libèrent le pollen."
4417;65;82;BBCH_TEMPO;6;Floraison (tige principale);"50% des fleurs sont à maturité sexuelle 
Fleurs à pétales : les pétales sont étalés et les étamines libèrent le pollen. 
Fleurs mâles en chatons : les étamines visibles ou les écailles fertiles libèrent le pollen.
Autres fleurs mâles : les étamines sont visibles et libèrent le pollen."
4429;69;82;BBCH_TEMPO;6;Floraison (tige principale);"90% des fleurs sont à maturité sexuelle, les premières fleurs sont fanées et les fruits en cours de formation peuvent être visibles"
4419;81;82;BBCH_TEMPO;8;Maturation des fruits ou graines;"10% des fruits du houppier sont matures (ont changé de couleur, ou sont desséchés et déhiscents, ou sont tombés)"
4418;85;82;BBCH_TEMPO;8;Maturation des fruits ou graines;"50% des fruits du houppier sont matures (ont changé de couleur, ou sont desséchés et déhiscents, ou sont tombés)"
4424;89;82;BBCH_TEMPO;8;Maturation des fruits ou graines;"90% des fruits du houppier sont matures (ont changé de couleur, ou sont desséchés et déhiscents, ou sont tombés)"
4421;91;82;BBCH_TEMPO;9;Sénescence et mort ou début de la période de dormance;10% du feuillage  a viré de couleur (selon la palette) ou est tombé
4423;95;82;BBCH_TEMPO;9;Sénescence et mort ou début de la période de dormance;50% du feuillage  a viré de couleur (selon la palette) ou est tombé
